Title,China Runtime,Converted,China Release Date,Budget,Genres,Original Language,Production Company,Global Release Date,Revenue,Global Runtime,Difference
Tarzan's Secret Treasure,01:21:11,81,,0,Action ;Adventure ;Romance ;,en,,12/01/41,0,81,0
In Old California,01:27:46,87,,0,Action ;Romance ;Western ;,en,Republic Pictures ;,05/31/42,0,91,-4
Mrs. Miniver,02:13:38,133,,1344000,Drama ;Romance ;War ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,06/04/42,13500000,134,-1
Bambi,01:06:47,66,,858000,Animation ;Drama ;Family ;,en,Walt Disney Productions ;,08/14/42,267447150,70,-4
Sherlock Holmes and the Voice of Terror,01:05:01,65,9/18/42,0,Drama ;Mystery ;Thriller ;,en,Universal Pictures ;,09/18/42,0,65,0
Flying Tigers,01:41:51,101,,0,Action ;Drama ;History ;,en,,10/08/42,0,102,-1
Casablanca,01:42:37,102,7/7/43,878000,Drama ;Romance ;,en,Warner Bros ;,11/26/42,10462500,102,0
Sherlock Holmes and the Secret Weapon,01:08:06,68,1/4/43,0,Action ;Adventure ;Crime ;Drama ;Mystery ;Thriller ;,en,Universal Pictures ;,12/25/42,0,68,0
Edge of Darkness,01:56:42,116,,0,Drama ;War ;,en,Warner Bros ;,01/01/43,0,119,-3
Shadow of a Doubt,01:47:47,107,1/12/43,0,Crime ;Drama ;Thriller ;,en,Universal Pictures ;Skirball Productions ;,01/16/43,0,108,-1
The Hard Way,01:50:43,110,,0,Drama ;,en,Warner Bros ;,02/20/43,0,109,1
Sherlock Holmes in Washington,01:11:03,71,4/19/43,0,Drama ;Action ;Thriller ;Mystery ;,en,Universal Pictures ;,04/30/43,0,71,0
For Whom the Bell Tolls,02:36:01,156,7/14/43,3000000,Drama ;History ;Romance ;Thriller ;,en,Paramount Pictures ;,07/12/43,0,170,-14
Madame Curie,02:02:09,122,12/15/43,0,Drama ;Romance ;,en,Loew ;Metro ;Goldwyn ;Mayer  ;MGM ;,12/15/43,0,124,-2
Jane Eyre,01:36:20,96,2/3/44,0,Drama ;Romance ;,en,Twentieth Century Fox Film Corporation ;,12/24/43,0,97,-1
Lifeboat,01:36:36,96,,1590000,Drama ;War ;,en,Twentieth Century Fox Film Corporation ;,01/11/44,0,96,0
Gaslight,01:53:21,113,,2068000,Drama ;Mystery ;Thriller ;Crime ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,05/04/44,0,114,-1
Address Unknown,01:28:47,88,2/27/18,0,Drama ;,en,Columbia Pictures Corporation ;,06/01/44,0,75,13
Bathing Beauty,01:36:58,96,,2361000,Comedy ;Music ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,07/01/44,6892000,101,-5
The Suspect,01:37:44,97,,0,Mystery ;Thriller ;Drama ;,en,,12/01/44,0,85,12
The House of Fear,01:08:51,68,2/8/45,0,Horror ;Thriller ;Mystery ;,en,Universal Pictures ;,03/16/45,0,69,-1
Flame of Barbary Coast,01:27:26,87,,0,Romance ;Western ;,en,Republic Pictures ;,05/28/45,0,91,-4
The Woman in Green,01:06:59,66,,0,Thriller ;Mystery ;,en,Universal Pictures ;,07/27/45,0,68,-2
The Lost Weekend,01:40:09,100,11/16/45,1250000,Drama ;,en,Paramount ;,11/25/45,11000000,101,-1
Spellbound,01:58:06,118,,1500000,Drama ; Mystery ; Thriller,en,Selznick International Pictures,12/28/45,7000000,111,7
Terror by Night,53:22:00,53,,0,Adventure ;Thriller ;Crime ;Mystery ;,en,Universal Pictures ;,02/01/46,0,60,-7
The Kid from Brooklyn,01:48:53,108,,0,Comedy ;Music ;,en,Samuel Goldwyn Company ;The ;Trinity Productions ;,03/21/46,0,113,-5
The Strange Love of Martha Ivers,01:51:16,111,,0,Drama ;,en,Paramount Pictures ;,07/24/46,0,116,-5
Notorious,01:41:24,101,8/15/46,2000000,Thriller; Drama; Romance,en,RKO Radio Pictures,08/15/46,24464742,102,-1
Cloak and Dagger,01:42:17,102,,0,Drama ;Thriller ;,en,,09/28/46,0,106,-4
The Best Years of Our Lives,02:50:36,170,,2100000,Drama ;History ;Romance ;,en,Samuel Goldwyn Company ;The ;,12/25/46,23650000,172,-2
Angel and the Badman,01:35:37,95,,0,Romance ;Western ;,en,Republic Pictures ;,02/15/47,0,100,-5
Pursued,01:37:03,97,,0,Romance ;Thriller ;Western ;Drama ;,en,Warner Bros ;United States Pictures ;,03/02/47,0,101,-4
Brute Force,01:33:43,93,,0,Crime ;Drama ;,en,Mark Hellinger Productions ;Universal International Pictures  ;UI ;,06/30/47,0,98,-5
Cry Wolf,01:30:10,90,9/16/05,0,Mystery ;Thriller ;,en,Warner Bros ;Thomson Productions ;,07/18/47,0,83,7
The Paradine Case,01:54:10,114,,4258000,Drama ;Crime ;Thriller ;,en,The Selznik Studio ;Vanguard Films ;,12/31/47,0,125,-11
Red River,02:12:42,132,8/26/48,3000000,Western ;,en,United Artists ;Monterey Productions ;Charles K ;Feldman Group ;,08/26/48,9012000,133,-1
