Title,China Runtime,Converted,China Release Date,Budget,Genres,Original Language,Production Company,Global Release Date,Revenue,Global Runtime,Difference
The Outsider,01:34:05,94,,4000000,Action ;Crime ;Drama ;Mystery ;Thriller ;,en,Hollywood Media Bridge ;Zero Gravity Management ;,11/14/03,0,94,0
Looney Tunes: Back in Action,01:31:38,91,,80000000,Animation ;Comedy ;Family ;,en,Lonely Film Productions GmbH  ;Co ;KG ;Warner Bros ;Animation ;Warner Bros ;Goldmann Pictures ;Baltimore Spring Creek Productions ;Warner Bros ;Feature Animation ;,11/14/03,68514844,90,1
Run All Night,01:49:36,109,,50000000,Action ;Crime ;Drama ;Mystery ;Thriller ;,en,Vertigo Entertainment ;Energy Entertainment ;RatPac ;Dune Entertainment ;,11/15/03,71561644,114,-5
The Cat in the Hat,01:18:23,78,,0,Comedy ;Fantasy ;Family ;,en,Imagine Entertainment ;DreamWorks SKG ;Universal Pictures ;,11/21/03,0,82,-4
Gothika,01:34:08,94,11/21/03,40000000,Horror ;Thriller ;,en,Columbia Pictures Corporation ;Dark Castle Entertainment ;Warner Bros ;,11/21/03,141591324,98,-4
Honey,01:33:52,93,,18000000,Romance ;Music ;Family ;,en,Universal Pictures ;Marc Platt Productions ;NuAmerica Entertainment ;,11/24/03,62646763,94,-1
Bad Santa,01:37:58,97,,23000000,Drama ;Comedy ;Crime ;,en,Columbia Pictures ;Triptych Pictures ;Dimension Films  ;US version ;,11/26/03,76488889,91,6
Secret Window,01:35:55,95,,40000000,Thriller ;Mystery ;,en,Columbia Pictures Corporation ;Pariah Entertainment Group ;Grand Slam Productions ;Mel ;Cite du Cinema ;,12/04/03,92913171,96,-1
Race to Witch Mountain,01:38:13,98,,50000000,Adventure ;Family ;Fantasy ;Science ;Fiction ;Thriller ;Action ;,en,Walt Disney Pictures ;Gunn Films ;,12/09/03,106303988,98,0
The Hunger Games,02:22:33,142,6/14/12,75000000,Science ;Fiction ;Adventure ;Fantasy ;,en,Lionsgate ;Color Force ;,12/12/03,691210692,142,0
Hush,01:29:36,89,,0,Horror ;Thriller ;,en,Intrepid Pictures ;Blumhouse Productions ;,12/16/03,0,81,8
Mona Lisa Smile,01:59:18,119,,65000000,Drama ;Romance ;,en,Columbia Pictures ;Revolution Studios ;,12/19/03,0,117,2
Cold Mountain,02:28:51,148,,79000000,Drama ;,en,Miramax Films ;Mirage Enterprises ;Castel Film Romania ;Bona Fide Productions ;Cattleya ;,12/24/03,173013509,154,-6
Big Fish,01:59:55,119,,70000000,Adventure ;Fantasy ;Drama ;,en,Columbia Pictures ;The Zanuck Company ;Jinks ;Cohen Company ;Tim Burton Productions ;,12/25/03,122919055,125,-6
Paycheck,01:58:46,118,,60000000,Action ;Adventure ;Mystery ;Science ;Fiction ;Thriller ;,en,Paramount Pictures ;DreamWorks SKG ;Davis Entertainment ;Lion Rock Productions ;Province of British Columbia Film Incentive BC ;Solomon ;Hackett Productions ;,12/25/03,96269812,119,-1
Miracle Dogs Too,01:24:25,84,,600000,Drama ;Family ;,en,Tag Entertainment ;Animal Film LLC ;,01/06/04,0,85,-1
Dragonball Evolution,01:21:51,81,3/14/09,100000000,Action ;Adventure ;Fantasy ;Science ;Fiction ;Thriller ;,en,Ingenious Film Partners ;Twentieth Century Fox Film Corporation ;Dune Entertainment ;Star Overseas ;Dune Entertainment III ;Big Screen Productions ;World Film Magic ;,01/09/04,0,85,-4
Clash of the Titans,01:46:07,106,4/16/10,125000000,Adventure ;Fantasy ;Action ;,en,The Zanuck Company ;Legendary Pictures ;Thunder Road Pictures ;Warner Bros ;Moving Picture Company  ;MPC ;,01/10/04,232713139,106,0
Crash,01:54:59,114,,6500000,Drama ;,en,Lionsgate ;Blackfriars Bridge Films ;Yari Film Group ;Bob Yari Productions ;ApolloProScreen Filmproduktion ;Bull ;Eye Entertainment ;DEJ Productions ;Harris Company ;,01/13/04,98410061,112,2
Along Came Polly,01:30:08,90,,42000000,Comedy ;Romance ;,en,Jersey Films ;Loofah Productions ;,01/16/04,171963386,90,0
The Goodbye Girl,01:45:58,105,,0,Comedy ;Romance ;Movie ;,de,Warner Bros ;Television ;Turner Network Television  ;TNT ;,01/16/04,0,103,2
Employee of the Month,01:27:48,87,1/17/05,,Comedy ;Action ;,en,Yari Film Group,01/17/04,0,97,-10
The Butterfly Effect,01:55:14,115,,13000000,Science ;Fiction ;Thriller ;,en,New Line Cinema ;FilmEngine ;Katalyst Films ;BenderSpink ;Province of British Columbia Production Services Tax Credit ;,01/22/04,96060858,113,2
Hellboy,02:12:27,132,,66000000,Fantasy ;Action ;Science ;Fiction ;,en,Columbia Pictures ;Revolution Studios ;Dark Horse Entertainment ;Lawrence Gordon Productions ;Starlite Films ;,02/04/04,99318987,122,10
Fast & Furious,01:46:29,106,4/15/09,85000000,Action ;Crime ;Drama ;Thriller ;,en,Universal Pictures ;Original Film ;One Race Productions ;Dentsu Inc ;Relativity Media ;,02/09/04,363164265,107,-1
50 First Dates,01:34:54,94,,75000000,Comedy ;Romance ;,en,Columbia Pictures Corporation ;Happy Madison Productions ;Anonymous Content ;Flower Films  ;II ;,02/13/04,196482882,99,-5
Confessions of a Teenage Drama Queen,01:25:56,85,,15000000,Comedy ;,en,Walt Disney Pictures ;,02/17/04,29331068,89,-4
Dirty Dancing: Havana Nights,01:26:13,86,,25000000,Drama ;Romance ;,en,Miramax Films ;Lions Gate Films ;Artisan Entertainment ;Lawrence Bender Productions ;Havana Nights LLC ;,02/27/04,27685016,86,0
Adventureland,01:46:55,106,,9500000,Comedy ;,en,Miramax Films ;Sidney Kimmel Entertainment ;This Is That Productions ;,03/09/04,17164377,107,-1
Dawn of the Dead,01:47:58,107,,28000000,Fantasy ; Horror; Action,en,New Amsterdam Entertainment; Strike Entertainment; Metropolitan Filmexport; Toho-Towa; Cruel and Unusual Films,03/19/04,102356381,101,6
Eternal Sunshine of the Spotless Mind,01:47:49,107,,20000000,Science ;Fiction ;Drama ;Romance ;,en,Anonymous Content ;This Is That Productions ;Focus Features ;,03/19/04,72258126,108,-1
Taking Lives,01:42:17,102,,45000000,Action ;Crime ;Mystery ;Thriller ;,en,Village Roadshow Pictures ;Atmosphere Entertainment MM ;Warner Bros ;,03/19/04,65470529,103,-1
The Ladykillers,01:39:47,99,,0,Comedy ;Crime ;Thriller ;,en,Mike Zoss Productions ;The Jacobson Company ;Touchstone Pictures ;,03/25/04,0,104,-5
High Noon,01:28:26,88,null,0,Drama ;Romance ;,en,Mandalay Television ;Lifetime Television ;,04/09/04,0,90,-2
The Cold Light of Day,01:29:23,89,10/12/12,20000000,Action ;Thriller ;,en,Summit Entertainment ;Intrepid Pictures ;Film Rites ;Galavis Film ;Picture Machine ;Fria Luz Del Dia ;,04/12/04,16863583,93,-4
Kill Bill: Vol. 2,02:16:58,136,,30000000,Action ;Crime ;Thriller ;,en,Miramax Films ;A Band Apart ;Super Cool ManChu ;,04/16/04,152159461,136,0
Starship Troopers 2: Hero of the Federation,01:26:55,86,,7000000,Adventure ;Horror ;Action ;Science ;Fiction ;,en,Startroop Pictures Inc ;Tippett Studio ;,04/20/04,0,88,-2
Troy,03:04:29,184,6/9/04,175000000,Adventure ;Drama ;War ;,en,Plan B Entertainment ;Warner Bros ;Nimar Studios ;Radiant Productions ;Helena Productions ;Latina Pictures ;,05/13/04,497409852,163,21
Shrek 2,01:32:23,92,1/19/04,150000000,Adventure ;Animation ;Comedy ;Family ;Fantasy ;,en,DreamWorks SKG ;Pacific Data Images  ;PDI ;DreamWorks Animation ;,05/19/04,919838758,93,-1
The Day After Tomorrow,01:58:31,118,5/28/04,125000000,Action ;Adventure ;Science ;Fiction ;Thriller ;,en,Lions Gate Films ;Twentieth Century Fox Film Corporation ;Centropolis Entertainment ;Mark Gordon Productions ;Mel ;Cite du Cinema ;,05/26/04,544272402,124,-6
Harry Potter and the Prisoner of Azkaban,02:21:42,141,9/10/04,130000000,Adventure ;Fantasy ;Family ;,en,Pictures ;Heyday films ;Warner Bros ;,05/31/04,789804554,141,0
Demolition,01:36:22,96,,10000000,Comedy ;Drama ;,en,Sidney Kimmel Entertainment ;Mr ;Mudd Production ;Right of Way Films ;Black Label Media ;,06/16/04,1978592,101,-5
Aftermath,01:20:46,80,,10500000,Drama ;Thriller ;,en,Ingenious Media ;Protozoa Pictures ;Oak Productions ;Emmett Furla Oasis Films  ;EFO Films ;Pacific View Management ;Union Editorial ;Hat and Cat Productions ;,06/17/04,3451,92,-12
The Terminal,02:03:30,123,,60000000,Comedy ;Drama ;,en,DreamWorks SKG ;Amblin Entertainment ;Parkes ;MacDonald Productions ;,06/17/04,219417255,128,-5
Going in Style,01:32:25,92,,25000000,Crime ;Comedy ;Drama ;,en,New Line Cinema ;Village Roadshow Pictures ;De Line Pictures ;Warner Bros ;RatPac ;Dune Entertainment ;,06/17/04,84618541,96,-4
White Chicks,01:48:42,108,,37000000,Comedy ;,en,Columbia Pictures ;Revolution Studios ;Wayans Bros ;Entertainment ;Gone North Productions ;,06/23/04,113086475,109,-1
The Notebook,01:55:09,115,,29000000,Romance ;Drama ;,en,New Line Cinema ;,06/25/04,115603229,123,-8
Spider-Man 2,02:15:46,135,7/1/04,200000000,Action ;Adventure ;Fantasy ;,en,Columbia Pictures ;Laura Ziskin Productions ;Marvel Enterprises ;,06/25/04,783766341,127,8
Changing Lanes,01:38:45,98,,45000000,Action ;Adventure ;Crime ;Thriller ;,en,Paramount Pictures ;,07/02/04,94935764,89,9
The Jungle Book,01:41:35,101,4/15/16,175000000,Family ;Adventure ;Drama ;Fantasy ;,en,Walt Disney Pictures ;Walt Disney Studios Motion Pictures ;Fairview Entertainment ;Moving Picture Company  ;MPC ;,07/16/04,966550600,106,-5
Catwoman,01:44:18,104,,100000000,Action ;Crime ;,en,Village Roadshow Pictures ;DiNovi Pictures ;Warner Bros ;Frantic Films ;Maple Shade Films ;Catwoman Films ;,07/22/04,82102379,104,0
The Bourne Supremacy,01:48:31,108,11/14/04,75000000,Action ;Drama ;Thriller ;,en,Universal Pictures ;The Kennedy ;Marshall Company ;Hypnotic ;Motion Picture THETA Produktionsgesellschaft ;Ludlum Entertainment ;,07/23/04,288500217,108,0
Garden State,01:37:14,97,,2500000,Comedy ;Drama ;Romance ;,en,Fox Searchlight Pictures ;Double Feature Films ;Jersey Films ;Camelot Pictures ;Large ;Ark Productions ;,07/28/04,26781723,102,-5
The Village,01:47:58,107,,60000000,Drama ;Mystery ;Thriller ;,en,Scott Rudin Productions ;Touchstone Pictures ;Blinding Edge Pictures ;,07/30/04,256697520,108,-1
The Interpreter,02:07:54,127,,80000000,Crime ;Thriller ;,en,Universal Pictures ;StudioCanal ;Mirage Enterprises ;Working Title Films ;Misher Films ;Motion Picture JOTA Produktions ;,08/05/04,162944923,128,-1
Date Night,01:41:36,101,,55000000,Comedy ;,en,Twentieth Century Fox Film Corporation ;Dune Entertainment ;Laps Entertainment ;,08/10/04,152263880,97,4
Your Highness,01:33:35,93,,49900000,Comedy ;,en,Universal Pictures ;Stuber Productions ;,08/11/04,26121638,102,-9
Arthur,01:46:09,106,,40000000,Comedy ;Romance ;,en,Warner Bros ;,08/11/04,45735397,110,-4
Soul Surfer,01:46:27,106,,18000000,Family ;Action ;Drama ;,en,Mandalay Pictures ;TriStar Pictures ;Brookwell ;McNamara Entertainment ;FilmDistrict ;Affirm Films ;,08/11/04,47088990,106,0
Lost River,01:29:45,89,,2000000,Fantasy ;Thriller ;,en,Bold Films ;Marc Platt Productions ;Phantasma ;,08/15/04,45431,95,-6
Anacondas: The Hunt for the Blood Orchid,01:32:00,92,,20000000,Adventure ;Action ;Horror ;Science ;Fiction ;Thriller ;,en,Screen Gems ;Middle Fork Productions ;,08/26/04,70992898,97,-5
After.Life,01:37:33,97,,4500000,Drama ;Horror ;Mystery ;Thriller ;,en,Plum Pictures ;Harbor Light Entertainment ;Lleju Productions ;,09/10/04,3606395,104,-7
The Year of the Yao,01:28:06,88,7/14/05,0,Documentary ;,en,NBA Entertainment ;,09/16/04,38585,88,0
Shark Tale,01:29:40,89,4/29/05,75000000,Animation ;Action ;Comedy ;Family ;,en,DreamWorks SKG ;Pacific Data Images  ;PDI ;DreamWorks Animation ;,09/20/04,367275019,90,-1
The Forgotten,01:27:09,87,,42000000,Crime ;Drama ;Horror ;Mystery ;Science ;Fiction ;Thriller ;,en,Revolution Studios ;Jinks ;Cohen Company ;Visual Arts Entertainment ;,09/24/04,117575636,91,-4
Ghosts of the Abyss,01:31:16,91,,13000000,Documentary ;,en,Walt Disney Pictures ;Walden Media ;Earthship Productions ;,10/03/04,17040871,92,-1
Malibu's Most Wanted,01:26:12,86,,0,Comedy ;Crime ;,en,Karz Entertainment ;Big Ticket Productions ;Warner Bros ;,10/03/04,0,86,0
Prom Night,01:29:11,89,,0,Crime ;Horror ;,en,Alliance Films ;,10/08/04,14796236,88,1
Finding Neverland,01:41:06,101,,25000000,Drama ;,en,Miramax Films ;Film Colony ;,10/17/04,116766556,106,-5
Melinda and Melinda,01:39:12,99,3/18/05,0,Comedy ;Drama ;Romance ;,en,Fox Searchlight Pictures ;Gravier Productions ;,10/29/04,20085825,100,-1
Ray,02:32:26,152,,40000000,Drama ;Music ;,en,Universal Pictures ;Bristol Bay Productions ;Baldwin Entertainment Group ;Anvil Films ;,10/29/04,124731534,152,0
Anger Management,01:40:36,100,,75000000,Comedy ;,en,Columbia Pictures ;Revolution Studios ;Happy Madison Productions ;,11/03/04,195745823,106,-6
Battleship,02:10:26,130,4/18/12,209000000,Thriller ;Action ;Adventure ;Science ;Fiction ;,en,Universal Pictures ;Hasbro ;Bluegrass Films ;Film  ;,11/12/04,303025485,131,-1
Draft Day,01:50:00,110,,25000000,Drama ;,en,Summit Entertainment ;Lionsgate ;,11/14/04,28831145,109,1
National Treasure,02:04:35,124,,100000000,Adventure ;Action ;Thriller ;Mystery ;,en,Walt Disney Pictures ;Jerry Bruckheimer Films ;Saturn Films ;Junction Entertainment ;,11/19/04,347451894,131,-7
Disturbia,01:44:36,104,,20000000,Thriller ;Drama ;Mystery ;,en,Paramount Pictures ;DreamWorks SKG ;Cold Spring Pictures ;Montecito Picture Company ;The ;,12/07/04,117760134,105,-1
42,02:08:14,128,,40000000,Drama ;,en,Warner Bros ;,12/13/04,95020213,128,0
Lemony Snicket's A Series of Unfortunate Events,01:43:30,103,,140000000,Adventure ;Comedy ;Family ;,en,Paramount Pictures ;Scott Rudin Productions ;Nickelodeon Movies ;DreamWorks Pictures ;Kumar Mobiliengesellschaft mbH  ;Co ;Projekt Nr ;KG ;Parkes ;MacDonald Image Nation ;,12/16/04,209073645,108,-5
Spanglish,02:05:38,125,,80000000,Comedy ;,en,Gracie Films ;Columbia Pictures Corporation ;,12/17/04,55041367,130,-5
The Aviator,02:47:02,167,,116000000,Drama ;,en,Miramax Films ;Appian Way ;Forward Pass ;Cappa Productions ;Warner Bros ;Initial Entertainment Group  ;IEG ;IMF Internationale Medien und Film GmbH  ;Co ;Produktions KG ;Mel ;Cite du Cinema ;,12/17/04,102000000,170,-3
The Fate of the Furious,02:15:58,135,4/14/17,250000000,Action ;Crime ;Thriller ;,en,Universal Pictures ;Original Film ;One Race Films ;,12/17/04,1238764765,136,-1
The Phantom of the Opera,02:21:06,141,,,Drama; Musical ; Romance,en,,12/22/04,,143,-2
Meet the Fockers,01:55:15,115,,80000000,Comedy ;Romance ;,en,DreamWorks SKG ;Universal Pictures ;Everyman Pictures ;Tribeca Productions ;,12/22/04,516642939,115,0
In Good Company,01:49:38,109,,0,Comedy ;Drama ;Romance ;,en,Depth of Field ;,12/29/04,0,109,0
New York Minute,01:30:47,90,,0,Comedy ;,en,DiNovi Pictures ;Dualstar Productions ;Warner Bros ;,01/04/05,0,91,-1
Watching the Detectives,01:34:06,94,,2000000,Comedy ;Romance ;,en,,01/07/05,0,90,4
Ghosts of Girlfriends Past,01:40:38,100,,0,Fantasy ;Comedy ;Romance ;,en,New Line Cinema ;Jon Shestack Productions ;Panther ;,01/09/05,102223269,100,0
Charlie St. Cloud,01:39:16,99,,44000000,Drama ;,en,Universal Pictures ;Marc Platt Productions ;Relativity Media ;,01/10/05,48190704,99,0
Coach Carter,02:16:20,136,,30000000,Drama ;,en,Paramount Pictures ;MTV Films ;Tollin ;Robbins Productions ;,01/14/05,76669806,136,0
The Hitchhiker's Guide to the Galaxy,01:48:46,108,,50000000,Adventure ;Comedy ;Family ;Science ;Fiction ;,en,Spyglass Entertainment ;Everyman Pictures ;Hammer  ;Tongs ;Touchstone Pictures ;,01/15/05,104478416,109,-1
Assault on Precinct 13,01:48:42,108,,30000000,Thriller ;,en,Rogue Pictures ;Why Not Productions ;Liaison Films ;Biscayne Pictures ;,01/19/05,35294470,109,-1
Hide and Seek,01:36:38,96,,25000000,Horror ;Mystery ;Thriller ;,en,Twentieth Century Fox Film Corporation ;Fox  ;Pictures ;Josephson Entertainment ;MBC Beteiligungs Filmproduktion ;,01/27/05,122644820,101,-5
Brick,01:49:57,109,,475000,Drama ;Mystery ;,en,Bergman Lustig productions ;,01/30/05,3919254,110,-1
Decoding Annie Parker,01:39:07,99,,2000000,Drama ;,en,Media House Capital ;Unified Pictures ;Decoding Annie Parker ;Ozymandias Productions ;,02/14/05,48390,91,8
The Shadow Effect,01:29:33,89,null,4000000,Science ;Fiction ;Action ;Thriller ;,en,Status Media  ;Entertainment ;DV ;Productions ;,02/17/05,0,93,-4
Cursed,01:36:58,96,,35000000,Horror ;Comedy ;,en,Craven ;Maddalena Films ;Outerbanks Entertainment ;Dimension Films ;Kalis Productions GmbH  ;Co ;Zweite KG ;,02/25/05,19294901,97,-1
Hollywood Ending,01:52:01,112,,16000000,Comedy ;Drama ;,en,DreamWorks SKG ;,03/02/05,0,112,0
Mission: Impossible III,02:05:25,125,7/20/06,150000000,Adventure ;Action ;Thriller ;,en,Paramount Pictures ;Cruise ;Wagner Productions ;Studio Babelsberg ;MI  ;Film ;China Film Co ;Production Corporation ;China Film Group Corporation  ;CFGC ;The Fourth Production Company Film Group ;,03/06/05,397850012,126,-1
Ice Princess,01:34:22,94,3/18/05,25000000,Drama ;Comedy ;Family ;,en,Walt Disney Pictures ;Bridget Johnson Films ;Skate Away Productions ;,03/17/05,27645491,98,-4
The Ring Two,01:49:23,109,,50000000,Drama ;Horror ;Thriller ;,en,DreamWorks ;BenderSpink ;Parkes ;MacDonald Image Nation ;,03/17/05,161451538,110,-1
The Amityville Horror,01:29:23,89,,19000000,Horror ;Thriller ;Drama ;,en,Platinum Dunes ;Dimension Films ;Metro ;Goldwyn ;Mayer  ;MGM ;Radar Pictures ;,04/15/05,108047131,90,-1
A Lot Like Love,01:42:27,102,,30000000,Comedy ;,en,Mile High Productions ;Kevin Messick Productions ;Touchstone Pictures ;Beacon Pictures ;,04/22/05,42886719,107,-5
xXx: State of the Union,01:40:58,100,6/17/05,60000000,Action ;Adventure ;Crime ;Drama ;Mystery ;Thriller ;,en,Original Film ;Columbia Pictures Corporation ;Revolution Studios ;,04/27/05,71073932,101,-1
House of Wax,01:52:44,112,,40000000,Horror ;,en,Village Roadshow Pictures ;Dark Castle Entertainment ;Warner Bros ;,04/30/05,68766121,113,-1
Van Helsing,02:11:30,131,,160000000,Horror ;Adventure ;Action ;,en,Universal Pictures ;Stillking Films ;Sommers Company ;The ;,05/04/05,300257475,132,-1
Priest,01:27:27,87,11/29/11,60000000,Action ;Science ;Fiction ;Fantasy ;Thriller ;Horror ;,en,Screen Gems ;Stars Road Entertainment ;Buckaroo Entertainment ;Michael De Luca Productions ;TOKYOPOP ;,05/11/05,78309131,87,0
Something Borrowed,01:52:40,112,,35000000,Comedy ;Drama ;Romance ;,en,Alcon Entertainment ;Wild Ocean Films ;S Films ;,05/11/05,59901913,112,0
Monster-in-Law,01:37:52,97,,43000000,Romance ;Comedy ;,en,New Line Cinema ;Spring Creek Productions ;BenderSpink ;Kumar Mobiliengesellschaft mbH  ;Co ;Projekt Nr ;KG ;,05/13/05,154749918,101,-4
Last Days,01:32:45,92,,0,Drama ;,en,HBO Films ;Picturehouse Entertainment ;Pie Films Inc ;,05/13/05,1928985,96,-4
Kicking & Screaming,01:34:37,94,,45000000,Romance ;Comedy ;Family ;,en,Universal Pictures ;,05/13/05,56070433,95,-1
Star Trek Into Darkness,02:12:05,132,5/28/13,190000000,Action ;Adventure ;Science ;Fiction ;,en,Paramount Pictures ;Skydance Productions ;Bad Robot ;Kurtzman ;Orci ;,05/13/05,467365246,132,0
The Curse of Sleeping Beauty,01:25:51,85,,0,Fantasy ;Mystery ;Thriller ;,en,B Films ;Nexus Motion Picture Company ;Briar Rose Productions ;,05/16/05,0,89,-4
Broken Flowers,01:41:04,101,,10000000,Comedy ;Drama ;Mystery ;Romance ;,en,Bac Films ;Focus Features ;Five Roses ;,05/17/05,45742101,105,-4
The Longest Yard,01:48:44,108,,82000000,Comedy ;Drama ;,en,Paramount Pictures ;Columbia Pictures Corporation ;MTV Films ;Happy Madison Productions ;Callahan Filmworks ;,05/19/05,190320568,113,-5
Madagascar,01:25:54,85,7/15/05,75000000,Family ;Animation ;,en,DreamWorks SKG ;Pacific Data Images  ;PDI ;DreamWorks Animation ;,05/25/05,532680671,86,-1
Star Trek,02:06:50,126,5/15/09,150000000,Science ;Fiction ;Action ;Adventure ;,en,Paramount Pictures ;Spyglass Entertainment ;Bad Robot ;MavroCine Pictures GmbH  ;Co ;KG ;,06/09/05,385680446,127,-1
Superman: Unbound,01:15:15,75,,0,Animation ;Action ;Adventure ;,en,DC Comics ;Warner Bros ;Animation ;Warner Premiere ;DC Entertainment ;,06/13/05,2915767,75,0
Jack of the Red Hearts,01:42:20,102,null,0,Drama ;Family ;,en,Sundial Pictures ;,06/15/05,0,102,0
Code of Honor,01:44:40,104,,8000000,Action ;Crime ;Thriller ;,en,Steamroller Productions ;Premiere Entertainment Group ;,06/16/05,0,106,-2
The Perfect Man,01:40:34,100,,0,Comedy ;Drama ;Family ;Romance ;,en,Universal Pictures ;,06/17/05,0,100,0
The Deal,01:47:43,107,6/17/05,0,Thriller ;Crime ;Drama ;,en,Front Street Pictures ;,06/17/05,0,107,0
The Ape,01:31:21,91,,,Comedy ; Drama,en,,06/18/05,0,92,-1
Bewitched,01:37:47,97,,85000000,Comedy; Romance ; Fantasy,en,Columbia Pictures Corporation ; Red Wagon Entertainment ; Bewitched,06/21/05,131426169,102,-5
Dark Water,01:40:28,100,,30000000,Drama ;Horror ;Thriller ;,en,Vertigo Entertainment ;Touchstone Pictures ;Post No Bills Films ;Pandemonium Productions ;,06/27/05,25473093,105,-5
War of the Worlds,01:56:32,116,8/25/05,132000000,Adventure ;Thriller ;Science ;Fiction ;,en,Paramount Pictures ;DreamWorks SKG ;Cruise ;Wagner Productions ;Amblin Entertainment ;,06/28/05,591739379,116,0
The Boy in the Striped Pyjamas,01:34:29,94,,12500000,War ;Drama ;,en,Miramax Films ;BBC Films ;Heyday Films ;,07/08/05,20416563,94,0
Multiple Sarcasms,01:33:28,93,,0,Drama ;Romance ;,en,Multiple Avenue Releasing ;,07/10/05,0,97,-4
Charlie and the Chocolate Factory,01:55:26,115,,150000000,Adventure ;Comedy ;Family ;Fantasy ;,en,Village Roadshow Pictures ;The Zanuck Company ;Warner Bros ;Tim Burton Productions ;Plan B Entertainment ;Theobald Film Productions ;,07/13/05,474968763,115,0
Wedding Crashers,01:54:29,114,,40000000,Comedy ;Romance ;,en,New Line Cinema ;Tapestry Films ;Avery Pix ;,07/14/05,285176741,119,-5
Stuart Little 3: Call of the Wild,01:12:07,72,,0,Fantasy ;Animation ;Comedy ;Science ;Fiction ;Family ;,en,Mainframe Entertainment ;,07/14/05,0,72,0
The Island,02:16:04,136,,126000000,Action ;Thriller ;Science ;Fiction ;Adventure ;,en,DreamWorks SKG ;Warner Bros ;Parkes ;MacDonald Productions ;,07/20/05,162949164,136,0
Single Santa Seeks Mrs. Claus,01:19:48,79,,0,Comedy ;Fantasy ;Family ;,en,,07/21/05,0,96,-17
Must Love Dogs,01:33:47,93,,30000000,Romance ;Comedy ;,en,Team Todd ;Warner Bros ;Ubu Productions ;,07/21/05,58405313,98,-5
Stealth,02:00:44,120,,135000000,Action ;,en,Laura Ziskin Productions ;Original Film ;Columbia Pictures Corporation ;Phoenix Pictures ;AFG Talons Productions ;,07/28/05,76932943,121,-1
The Skeleton Key,01:43:51,103,,43000000,Drama ;Horror ;Mystery ;Thriller ;,en,Universal Pictures ;MFPV Film ;Double Feature Films ;ShadowCatcher Entertainment ;Daniel Bobker Productions ;Brick Dust Productions LLC ;,07/29/05,91974818,104,-1
Sky High,01:39:29,99,,35000000,Adventure ;Comedy ;Family ;,en,Walt Disney Pictures ;Gunn Films ;Max Stronghold Productions Inc ;,07/29/05,86369815,100,-1
Edison,01:39:09,99,7/18/06,0,Thriller ;,en,VIP  ;Medienfonds ;Brightlight Pictures ;Ascendant Pictures ;Rising Star ;Nu Image Entertainment GmbH ;Millennium Films ;Emmett Furla Oasis Films  ;EFO Films ;,07/29/05,0,99,0
Dark Shadows,01:53:05,113,,150000000,Comedy ;Fantasy ;,en,Village Roadshow Pictures ;Infinitum Nihil ;GK Films ;Warner Bros ;Tim Burton Productions ;Dan Curtis Productions ;Zanuck Company ;The ;,08/12/05,245527149,113,0
Chef,01:49:54,109,,11000000,Comedy ;,en,Prescience ;Fairview Entertainment ;Altus Media ;,08/14/05,45967935,114,-5
Maggie,01:35:08,95,,4000000,Horror ;,en,Lionsgate ;Grindstone Entertainment Group ;Silver Reel ;Sly Predator ;Matt Baer Films ;Gold Star Films ;Lotus Entertainment  ;,08/15/05,187112,95,0
Supercross,01:20:29,80,8/15/05,0,Action ;Adventure ;Drama ;Romance ;,en,Tag Entertainment ;,08/16/05,3102550,80,0
Serenity,01:59:02,119,,39000000,Science ;Fiction ;Action ;Adventure ;Thriller ;,en,Universal Pictures ;Barry Mendel Productions ;,08/25/05,38869464,119,0
The Brothers Grimm,01:58:28,118,,88000000,Adventure ;Fantasy ;Action ;Comedy ;Thriller ;,en,The Weinstein Company ;Summit Entertainment ;Atlas Entertainment ;Mosaic Media Group ;Reforma Films ;Dimension Films ;Metro ;Goldwyn ;Mayer  ;MGM ;Revolution Sun Studios ;,08/26/05,105316267,118,0
Aliens of the Deep,01:39:35,99,,0,Documentary ; Family ;,en,,09/01/05,,100,-1
The Animatrix,01:40:50,100,,5000000,Animation ;Science ;Fiction ;,en,Village Roadshow Pictures ;,09/03/05,0,102,-2
Speed Racer,02:15:00,135,8/10/08,120000000,Action ;Family ;Science ;Fiction ;,en,Village Roadshow Pictures ;Studio Babelsberg ;Anarchos Productions ;Silver Pictures ;Warner Bros ;Velocity Productions ;,09/08/05,93945766,135,0
Romance & Cigarettes,01:37:40,97,,0,Comedy ;Music ;Romance ;,en,United Artists ;,09/13/05,2945242,105,-8
Walk the Line,02:10:13,130,,28000000,Drama ;Music ;Romance ;,en,Tree Line Films ;Konrad Pictures ;Catfish Productions ;Fox  ;Pictures ;Mars Media Beteiligungs ;,09/13/05,186438883,136,-6
Today You Die,01:30:47,90,9/13/05,0,Action ;Adventure ;Thriller ;,en,,09/13/05,0,92,-2
Million Dollar Arm,01:58:55,118,,25000000,Drama ;,en,Walt Disney Pictures ;,09/14/05,38307627,124,-6
God's Pocket,01:23:41,83,,0,Drama ;,en,Cooper ;Town Productions ;Park Pictures ;Shoestring Pictures ;,09/14/05,169976,88,-5
Venom,01:27:06,87,,0,Horror ;Thriller ;,en,Collision Entertainment ;Outerbanks Entertainment ;Dimension Films ;,09/16/05,0,85,2
Flightplan,01:38:03,98,,55000000,Thriller ;Drama ;Mystery ;,en,Imagine Entertainment ;Touchstone Pictures ;,09/22/05,223387299,98,0
